id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
1479,27,female,adult,lean & wet,166.8491808,40.23956002,584.7940509,374.1561127,13.94226493,18.16715103,0,1551.774748,297.916973,3368.221433,595.0620755,34.88852948,10.0,6,7,8,1.0,1.0,0.89845192,2.6779711,0.41442138,0.1960416,0.32189822,-0.012621365,-0.1227184,0.18763588,0.57846957,0.13040461,-0.67475277,1.0,0.46769515,0.11308446,0.93099052,0.75196171,0.093653493,0.32059303
1481,27,female,adult,lean & wet,83.85918846,36.53367424,556.4899399,275.5951993,12.88264864,19.09242816,0,1034.191899,233.1273189,2890.154153,1316.471668,58.21484841,7.0,5,6,7,1.0,1.0,0.83010489,2.2807741,0.60300058,-0.91927844,-0.50525057,-0.035789296,1.0475299,-0.16093373,0.10539529,-0.34510231,-0.59615594,1.0,0.34449399,0.10946114,0.7285229,0.69707966,0.10898101,0.33131862
1485,27,female,adult,lean & wet,171.3411628,77.72724773,530.7579352,617.6283148,22.21930018,27.67545738,0,1674.423256,474.0751905,3510.307874,2251.44309,137.5080007,12.0,4,5,6,1.0,1.0,0.93532264,3.1584916,0.42524782,0.79771584,1.3225652,-0.0357893,-0.055533785,0.69089091,-0.13988464,0.50905806,1.3594226,1.0,0.77203542,0.21515794,1.0,0.83119887,0.13983603,0.59818339
1487,27,female,adult,lean & wet,196.3243043,157.2863903,630.2405349,492.5853468,27.8436296,29.6801535,0,1885.401414,279.4996535,4720.30914,1042.461609,16.86068919,9.0,4,5,6,1.0,0.51093,0.94380212,3.1307812,0.29603544,0.93608803,1.2648592,0.010546568,-0.85737497,-0.033864181,-0.19671276,-0.008367522,0.00986727,1.0,0.61573166,0.30242196,0.87343639,0.71708667,0.086218812,0.41401857
1488,24,female,child,lean & wet,71.89245929,50.25182779,377.325167,2050.926078,105.3973783,9.135086306,0,695.7499962,116.6592105,2250.386076,373.4785087,5.317895143,4.0,3,4,5,1.0,0.40906885,0.87881136,2.2516804,0.32932764,-0.12446266,-0.56583726,-0.53621674,-0.65077662,1.1079942,-1.1377672,-0.82317102,-1.5011284,1.0,1.0,1.0,0.9721601,0.89687151,0.094764926,0.20782304
1493,24,female,adult,lean & wet,219.0539048,39.00692373,375.1824541,264.0664946,14.09577225,24.28129887,0,1231.609903,181.8985544,2759.895449,891.6969943,121.1918162,6.0,4,5,6,1.0,1.0,0.88576972,2.3600657,0.33737648,-0.010912682,-0.34012863,-0.11522223,-0.60082877,-0.31827286,-0.24479811,-0.45537624,-0.82481033,1.0,0.33008313,0.13532424,0.56843299,0.67230672,0.10888911,0.30011567
1495,27,female,adult,lean & wet,96.19498598,17.64439575,608.4931752,330.6925782,15.30327099,20.62251519,0,1446.597857,132.3279255,2969.209506,198.5761302,63.42570575,9.0,5,6,7,0.73546714,1.0,0.86844283,2.4308665,0.52700359,-0.2936613,-0.19268849,-0.075505763,0.57592249,-0.68605459,0.081974111,-0.010578199,0.078606173,1.0,0.41336572,0.12404086,0.41352478,0.61439973,0.084804855,0.42339891
1497,25,female,adult,lean & wet,184.1927198,118.9012548,626.1469616,197.7423339,24.35867509,21.20711836,0,1468.513007,130.7965023,4244.926334,494.7343994,40.3325825,7.0,4,5,6,1.0,1.0,0.86961448,2.2143292,0.30689716,-0.27454177,-0.64361966,-0.31380454,-0.78997141,-0.47149664,-0.36316201,-0.39819497,-0.50765401,1.0,0.24717791,0.23317342,0.40873906,0.64818174,0.10362008,0.34339589
1501,31,female,adult,lean & wet,65.09689279,14.54827422,409.1408303,137.9021126,8.750477435,14.64980854,0,733.1586237,39.65050602,2026.940161,6.743267678,1.626215151,7.0,3,4,5,0.024975065,0.049279246,0.75030047,1.5946456,0.60781956,-2.2215657,-1.9340889,-0.40647629,1.0774345,-3.0585423,-0.68266034,-0.38344702,-0.47325942,1.0,0.17237765,0.074579157,0.12390783,0.24085316,0.045833349,0.34808949
1503,28,female,adult,lean & wet,49.63043783,34.69679635,292.7297337,183.8999987,9.204573232,9.786241821,0,687.1310216,134.9243829,1678.696827,990.0619238,89.98698075,7.0,4,4,5,1.0,1.0,0.81924415,1.9944735,0.60028696,-1.0965093,-1.1014616,-0.15493868,1.0306903,-0.63281262,-0.19326167,-0.39353773,-0.060228933,1.0,0.229875,0.085182026,0.4216387,0.62278265,0.10138884,0.40445301
